id,Species,Aquaculture,Climate_Change,Conflict,Crops,Dams_Water,Fire,Fishing,Geo_Event,Hunting,Inv_Disease,Livestock,Logging,Other_Develop,Plantations,Pollution,Rec_Work
1,Rhea americana,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0
2,Rhea pennata,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
3,Casuarius casuarius,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,0
4,Casuarius bennetti,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0
5,Casuarius unappendiculatus,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
6,Dromaius novaehollandiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Apteryx australis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
8,Apteryx owenii,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Apteryx haastii,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10,Tinamus tao,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
11,Tinamus solitarius,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0
12,Tinamus osgoodi,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0
13,Tinamus major,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0
14,Tinamus guttatus,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0
15,Nothocercus bonapartei,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,Nothocercus julius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nothocercus nigrocapillus,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,Crypturellus berlepschi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Crypturellus cinereus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Crypturellus soui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
