"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"1","Rhea americana","Rhea americana",0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,"NT",23000,"Omnivore","Rhea",23450,2,"Omnivore",23000,"Omnivore"
"2","Rhea pennata","Rhea pennata",0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,"LC",23900,"Omnivore","Rhea",23450,2,"Omnivore",23900,"Omnivore"
"3","Casuarius casuarius","Casuarius casuarius",0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,0,"LC",44000,"Frugivore","Casuarius",41691.3,3,"Frugivore",44000,"Frugivore"
"4","Casuarius bennetti","Casuarius bennetti",0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,"LC",35000,"Frugivore","Casuarius",41691.3,3,"Frugivore",35000,"Frugivore"
"5","Casuarius unappendiculatus","Casuarius unappendiculatus",0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,"LC",46073.9,"Frugivore","Casuarius",41691.3,3,"Frugivore",46073.9,"Frugivore"
"6","Dromaius novaehollandiae","Dromaius novaehollandiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",34093.3,"Omnivore","Dromaius",34093.3,1,"Omnivore",34093.3,"Omnivore"
"7","Apteryx australis","Apteryx australis",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"VU",2320.5,"Invertivore","Apteryx",1965.2,5,"Invertivore",2320.5,"Invertivore"
"8","Apteryx owenii","Apteryx owenii",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"NT",1238.3,"Invertivore","Apteryx",1965.2,5,"Invertivore",1238.3,"Invertivore"
"9","Apteryx haastii","Apteryx haastii",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"VU",2022.7,"Invertivore","Apteryx",1965.2,5,"Invertivore",2022.7,"Invertivore"
"10","Tinamus tao","Tinamus tao",0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,"VU",1600.1,"Omnivore","Tinamus",1196.78,5,"Omnivore",1600.1,"Omnivore"
"11","Tinamus solitarius","Tinamus solitarius",0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,"NT",1386.4,"Omnivore","Tinamus",1196.78,5,"Omnivore",1386.4,"Omnivore"
"12","Tinamus osgoodi","Tinamus osgoodi",0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,"VU",1285,"Omnivore","Tinamus",1196.78,5,"Omnivore",1285,"Omnivore"
"13","Tinamus major","Tinamus major",0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,"LC",1026.2,"Omnivore","Tinamus",1196.78,5,"Omnivore",1026.2,"Omnivore"
"14","Tinamus guttatus","Tinamus guttatus",0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,"NT",686.2,"Omnivore","Tinamus",1196.78,5,"Omnivore",686.2,"Omnivore"
"15","Nothocercus bonapartei","Nothocercus bonapartei",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"LC",763,"Omnivore","Nothocercus",665.333333333333,3,"Omnivore",763,"Omnivore"
"16","Nothocercus julius","Nothocercus julius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",693,"Omnivore","Nothocercus",665.333333333333,3,"Omnivore",693,"Omnivore"
"17","Nothocercus nigrocapillus","Nothocercus nigrocapillus",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"LC",540,"Omnivore","Nothocercus",665.333333333333,3,"Omnivore",540,"Omnivore"
"18","Crypturellus berlepschi","Crypturellus berlepschi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",516.8,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",516.8,"Omnivore"
"19","Crypturellus cinereus","Crypturellus cinereus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",506.6,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",506.6,"Omnivore"
"20","Crypturellus soui","Crypturellus soui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",216.2,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",216.2,"Omnivore"
"21","Crypturellus ptaritepui","Crypturellus ptaritepui",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,"LC",443.4,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",443.4,"Omnivore"
"22","Crypturellus obsoletus","Crypturellus obsoletus",0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,"LC",443.4,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",443.4,"Omnivore"
"23","Crypturellus cinnamomeus","Crypturellus cinnamomeus",0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,"LC",422,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",422,"Omnivore"
"24","Crypturellus undulatus","Crypturellus undulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",564.4,"Omnivore","Crypturellus",387.580952380952,21,"Omnivore",564.4,"Omnivore"
