"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
"1",22678073,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","RHEIDAE","Rhea","Rhea americana","(Linnaeus, 1758)",NA,NA,NA,"NT","Greater Rhea"
"2",22678081,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","RHEIDAE","Rhea","Rhea pennata","d'Orbigny, 1834",NA,NA,NA,"LC","Lesser Rhea"
"3",22678108,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","CASUARIIDAE","Casuarius","Casuarius casuarius","(Linnaeus, 1758)",NA,NA,NA,"LC","Southern Cassowary"
"4",22678111,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","CASUARIIDAE","Casuarius","Casuarius bennetti","Gould, 1857",NA,NA,NA,"LC","Dwarf Cassowary"
"5",22678114,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","CASUARIIDAE","Casuarius","Casuarius unappendiculatus","Blyth, 1860",NA,NA,NA,"LC","Northern Cassowary"
"6",22678117,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","CASUARIIDAE","Dromaius","Dromaius novaehollandiae","(Latham, 1790)",NA,NA,NA,"LC","Common Emu"
"7",22678122,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","APTERYGIDAE","Apteryx","Apteryx australis","Shaw, 1813",NA,NA,NA,"VU","Southern Brown Kiwi"
"8",22678129,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","APTERYGIDAE","Apteryx","Apteryx owenii","Gould, 1847",NA,NA,NA,"NT","Little Spotted Kiwi"
"9",22678132,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","APTERYGIDAE","Apteryx","Apteryx haastii","Potts, 1872",NA,NA,NA,"VU","Great Spotted Kiwi"
"10",22678135,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Tinamus","Tinamus tao","Temminck, 1815",NA,NA,NA,"VU","Grey Tinamou"
"11",22678139,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Tinamus","Tinamus solitarius","(Vieillot, 1819)",NA,NA,NA,"NT","Solitary Tinamou"
"12",22678145,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Tinamus","Tinamus osgoodi","Conover, 1949",NA,NA,NA,"VU","Black Tinamou"
"13",22678148,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Tinamus","Tinamus major","(Gmelin, 1789)",NA,NA,NA,"LC","Great Tinamou"
"14",22678151,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Tinamus","Tinamus guttatus","Pelzeln, 1863",NA,NA,NA,"NT","White-throated Tinamou"
"15",22678154,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Nothocercus","Nothocercus bonapartei","Gray, 1867",NA,NA,NA,"LC","Highland Tinamou"
"16",22678157,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Nothocercus","Nothocercus julius","(Bonaparte, 1854)",NA,NA,NA,"LC","Tawny-breasted Tinamou"
"17",22678160,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Nothocercus","Nothocercus nigrocapillus","(G.R. Gray, 1867)",NA,NA,NA,"LC","Hooded Tinamou"
"18",22678163,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus berlepschi","Rothschild, 1897",NA,NA,NA,"LC","Berlepsch's Tinamou"
"19",22678166,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus cinereus","(Gmelin, 1789)",NA,NA,NA,"LC","Cinereous Tinamou"
"20",22678169,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus soui","(Hermann, 1783)",NA,NA,NA,"LC","Little Tinamou"
"21",22678172,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus ptaritepui","Zimmer & Phelps, 1945",NA,NA,NA,"LC","Tepui Tinamou"
"22",22678176,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus obsoletus","(Temminck, 1815)",NA,NA,NA,"LC","Brown Tinamou"
"23",22678179,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus cinnamomeus","(Lesson, 1842)",NA,NA,NA,"LC","Thicket Tinamou"
"24",22678182,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus undulatus","(Temminck, 1815)",NA,NA,NA,"LC","Undulated Tinamou"
"25",22678185,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus transfasciatus","(Sclater & Salvin, 1878)",NA,NA,NA,"NT","Pale-browed Tinamou"
"26",22678188,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus strigulosus","(Temminck, 1815)",NA,NA,NA,"LC","Brazilian Tinamou"
"27",22678191,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus boucardi","(Sclater, 1859)",NA,NA,NA,"VU","Slaty-breasted Tinamou"
"28",22678194,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus kerriae","(Chapman, 1915)",NA,NA,NA,"NT","Choco Tinamou"
"29",22678213,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus duidae","Zimmer, 1938",NA,NA,NA,"LC","Grey-legged Tinamou"
"30",22678217,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus noctivagus","(Wied, 1820)",NA,NA,NA,"NT","Yellow-legged Tinamou"
"31",22678220,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus atrocapillus","(Tschudi, 1844)",NA,NA,NA,"LC","Black-capped Tinamou"
"32",22678223,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus variegatus","(Gmelin, 1789)",NA,NA,NA,"LC","Variegated Tinamou"
"33",22678226,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus brevirostris","(Pelzeln, 1863)",NA,NA,NA,"LC","Rusty Tinamou"
"34",22678229,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus bartletti","(Sclater & Salvin, 1873)",NA,NA,NA,"LC","Bartlett's Tinamou"
"35",22678232,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus parvirostris","(Wagler, 1827)",NA,NA,NA,"LC","Small-billed Tinamou"
"36",22678235,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus casiquiare","(Chapman, 1929)",NA,NA,NA,"LC","Barred Tinamou"
"37",22678238,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Crypturellus","Crypturellus tataupa","(Temminck, 1815)",NA,NA,NA,"LC","Tataupa Tinamou"
"38",22678246,"ANIMALIA","CHORDATA","AVES","STRUTHIONIFORMES","TINAMIDAE","Nothoprocta","Nothoprocta taczanowskii","Sclater & Salvin, 1875",NA,NA,NA,"VU","Taczanowski's Tinamou"
