MSW3_ID,Scientific,MSWFamilyLatin,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-Value,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,BodyMass-Value
1,Tachyglossus aculeatus,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,1,0,3025
2,Zaglossus attenboroughi,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,0,0,8532.39
3,Zaglossus bartoni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,0,0,7180
4,Zaglossus bruijni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,G,1,0,0,10139.5
5,Ornithorhynchus anatinus,Ornithorhynchidae,80,0,0,20,0,0,0,0,0,0,G,1,1,1,1484.25
6,Caluromys philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ar,1,1,0,229.25
7,Caluromys derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ar,1,1,0,297
8,Caluromys lanatus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ar,1,1,0,325
9,Caluromysiops irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ar,1,0,0,250
10,Glironia venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ar,1,0,0,114
11,Chironectes minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,G,1,0,0,946
12,Didelphis aurita,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,1163.99
13,Didelphis imperfecta,Didelphidae,50,0,0,0,0,0,50,0,0,0,S,1,0,0,1260.04
14,Didelphis marsupialis,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,1091.16
15,Didelphis pernigra,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,1260.04
16,Didelphis virginiana,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,2195.48
17,Didelphis albiventris,Didelphidae,20,0,0,0,30,30,0,0,0,20,S,1,0,0,904
18,Gracilinanus formosus,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18.9
19,Gracilinanus emiliae,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,7.6
20,Gracilinanus microtarsus,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,31
21,Gracilinanus marica,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,23.8
22,Gracilinanus dryas,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18
23,Gracilinanus aceramarcae,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,20.5
24,Gracilinanus agricolai,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18.9
25,Gracilinanus agilis,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,22
26,Gracilinanus ignitus,Didelphidae,50,0,0,0,0,0,30,20,0,0,S,1,1,0,18.9
