ID,Species,Aquaculture,Climate_Change,Conflict,Crops,Dams_Water,Fire,Fishing,Geo_Event,Hunting,Inv_Disease,Livestock,Logging,Other_Develop,Plantations,Pollution,Rec_Work
1,Abrocoma boliviensis,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,Acerodon celebensis,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0
3,Acerodon humilis,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,Acerodon jubatus,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
5,Acerodon leucotis,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0
6,Acerodon mackloti,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,Acinonyx jubatus,0,2,2,2,2,1,0,0,2,1,2,1,2,0,0,1
8,Acomys cahirinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Acomys cilicicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Acomys cineraceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Acomys ignitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Acomys kempi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Acomys louisae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Acomys minous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Acomys mullah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Acomys nesiotes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Acomys percivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Acomys russatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Acomys subspinosus,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0
20,Acomys wilsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Aconaemys fuscus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22,Aconaemys sagei,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Addax nasomaculatus,0,1,0,0,0,0,0,0,3,0,2,0,1,0,0,0
24,Handleyomys fuscatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Aepeomys lugens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Aepyceros melampus,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,Aeretes melanopterus,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,Aeromys tephromelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Aeromys thomasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Aethalops alecto,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0
31,Aethomys silindensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Aethomys bocagei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Aethomys chrysophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Micaelamys granti,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,Aethomys hindei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Aethomys kaiseri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Micaelamys namaquensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Aethomys nyikae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Aethomys stannarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Aethomys thomasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
