,taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
1,18,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Abrocoma boliviensis,"Glanz &amp; Anderson, 1990",NA,NA,NA,CR,Bolivian Chinchilla Rat
2,137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon celebensis,"Peters, 1867",NA,NA,NA,VU,Sulawesi Fruit Bat
3,138,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon humilis,"K. Andersen, 1909",NA,NA,NA,EN,Talaud Fruit Bat
4,139,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon jubatus,"(Eschscholtz, 1831)",NA,NA,NA,EN,Golden-capped Fruit Bat
5,140,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon leucotis,"(Sanborn, 1950)",NA,NA,NA,VU,Palawan Fruit Bat
6,142,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,Acerodon mackloti,"(Temminck, 1837)",NA,NA,NA,VU,Sunda Fruit Bat
7,219,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,Acinonyx jubatus,"(Schreber, 1775)",NA,NA,NA,VU,Cheetah
8,263,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys cahirinus,"(É. Geoffroy, 1803)",NA,NA,NA,LC,Cairo Spiny Mouse
9,264,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys cilicicus,"Spitzenberger, 1978",NA,NA,NA,DD,Asia Minor Spiny Mouse
10,265,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys cineraceus,"Heuglin, 1877",NA,NA,NA,LC,Gray Spiny Mouse
11,266,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys ignitus,"Dollman, 1910",NA,NA,NA,LC,Fiery Spiny Mouse
12,267,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys kempi,"Dollman, 1911",NA,NA,NA,LC,Kemp's Spiny Mouse
13,268,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys louisae,"Thomas, 1896",NA,NA,NA,LC,Louise's Spiny Mouse
14,269,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys minous,"Bate, 1906",NA,NA,NA,DD,Crete Spiny Mouse
15,270,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys mullah,"Thomas, 1904",NA,NA,NA,LC,Mullah Spiny Mouse
16,271,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys nesiotes,"Bate, 1903",NA,NA,NA,DD,Cyprus Spiny Mouse
17,272,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys percivali,"Dollman, 1911",NA,NA,NA,LC,Percival's Spiny Mouse
18,273,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys russatus,"(Wagner, 1840)",NA,NA,NA,LC,Golden Spiny Mouse
19,275,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys subspinosus,"(Waterhouse, 1838)",NA,NA,NA,LC,Cape Spiny Mouse
20,276,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,Acomys wilsoni,"Thomas, 1892",NA,NA,NA,LC,Wilson's Spiny Mouse
21,278,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,Aconaemys fuscus,"(Waterhouse, 1842)",NA,NA,NA,LC,Chilean Rock Rat
22,279,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,Aconaemys sagei,"Pearson, 1984",NA,NA,NA,DD,Sage's Rock Rat
23,512,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,Addax nasomaculatus,"(de Blainville, 1816)",NA,NA,NA,CR,Addax
24,547,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Handleyomys,Handleyomys fuscatus,"(J.A. Allen, 1912)",NA,NA,NA,LC,Dusky Montane Mouse
25,548,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aepeomys,Aepeomys lugens,"(Thomas, 1896)",NA,NA,NA,LC,Olive Montane Mouse
26,550,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Aepyceros,Aepyceros melampus,"(Lichtenstein, 1812)",NA,NA,NA,LC,Impala
27,555,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeretes,Aeretes melanopterus,"(Milne-Edwards, 1867)",NA,NA,NA,NT,Northern Chinese Flying Squirrel
28,556,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeromys,Aeromys tephromelas,"(Günther, 1873)",NA,NA,NA,DD,Black Flying Squirrel
29,557,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeromys,Aeromys thomasi,"(Hose, 1900)",NA,NA,NA,LC,Thomas’s Flying Squirrel
30,565,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Aethalops,Aethalops alecto,"(Thomas, 1923)",NA,NA,NA,LC,Pygmy Fruit Bat
31,567,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys silindensis,"Roberts, 1938",NA,NA,NA,DD,Selinda Veld Rat
32,568,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys bocagei,"(Thomas, 1904)",NA,NA,NA,LC,Bocage's Rock Rat
33,569,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys chrysophilus,"(de Winton, 1897)",NA,NA,NA,LC,Red Rock Rat
34,570,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Micaelamys,Micaelamys granti,"(Wroughton, 1908)",NA,NA,NA,LC,Grant's Rock Rat
35,571,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys hindei,"(Thomas, 1902)",NA,NA,NA,LC,Hinde's Rock Rat
36,572,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys kaiseri,"(Noack, 1887)",NA,NA,NA,LC,Kaiser's Rock Rat
37,573,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Micaelamys,Micaelamys namaquensis,"(A. Smith, 1834)",NA,NA,NA,LC,Namaqua Rock Rat
38,574,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys nyikae,"(Thomas, 1897)",NA,NA,NA,LC,Nyika Rock Rat
39,575,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys stannarius,"(Thomas, 1913)",NA,NA,NA,DD,Tinfields Rock Rat
40,576,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,Aethomys thomasi,"(de Winton, 1897)",NA,NA,NA,LC,Thomas's Rock Rat
