"","scientific_name","order_name","family_name","genus_name","category","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","Mass.g","functional_group","accepted_spp_name","combined_fn_group","combined_body_mass","phyl_eltonian_ftn_gp"
"1","Abrocoma boliviensis","RODENTIA","ABROCOMIDAE","Abrocoma","CR",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,158,"Herbivore_terrestrial","Abrocoma boliviensis","Herbivore_terrestrial",158,"Herbivore"
"2","Acerodon celebensis","CHIROPTERA","PTEROPODIDAE","Acerodon","VU",0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,390,"Herbivore_terrestrial","Acerodon celebensis","Herbivore_terrestrial",390,"FruitNectSeed"
"3","Acerodon humilis","CHIROPTERA","PTEROPODIDAE","Acerodon","EN",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,599.6,"Herbivore_terrestrial","Acerodon humilis","Herbivore_terrestrial",599.6,"FruitNectSeed"
"4","Acerodon jubatus","CHIROPTERA","PTEROPODIDAE","Acerodon","EN",0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1075,"Herbivore_terrestrial","Acerodon jubatus","Herbivore_terrestrial",1075,"FruitNectSeed"
"5","Acerodon leucotis","CHIROPTERA","PTEROPODIDAE","Acerodon","VU",0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,513.2,"Herbivore_terrestrial","Acerodon leucotis","Herbivore_terrestrial",513.2,"FruitNectSeed"
"6","Acerodon mackloti","CHIROPTERA","PTEROPODIDAE","Acerodon","VU",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,470.3,"Herbivore_terrestrial","Acerodon mackloti","Herbivore_terrestrial",470.3,"FruitNectSeed"
"7","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","VU",0,2,2,2,2,1,0,0,2,1,2,1,2,0,0,1,46700,"Vertivore","Acinonyx jubatus","Vertivore",46700,"Vertivore"
"8","Acomys cahirinus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,"Herbivore_terrestrial","Acomys cahirinus","Herbivore_terrestrial",52.5,"Herbivore"
"9","Acomys cilicicus","RODENTIA","MURIDAE","Acomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,"Herbivore_terrestrial","Acomys cilicicus","Herbivore_terrestrial",42.5,"Herbivore"
"10","Acomys cineraceus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,"Invertivore","Acomys cineraceus","Invertivore",20.3,"Invertivore"
"11","Acomys ignitus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Herbivore_terrestrial","Acomys ignitus","Herbivore_terrestrial",24,"Herbivore"
"12","Acomys kempi","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"Herbivore_terrestrial","Acomys kempi","Herbivore_terrestrial",22,"Herbivore"
"13","Acomys louisae","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,"Herbivore_terrestrial","Acomys louisae","Herbivore_terrestrial",20.2,"Herbivore"
