"","accpt_name","other_name"
"1","Micaelamys granti","Aethomys granti"
"2","Micaelamys namaquensis","Aethomys namaquensis"
"3","Scarturus euphratica","Allactaga euphratica"
"4","Scarturus vinogradovi","Allactaga vinogradovi"
"5","Alouatta juara","Alouatta seniculus"
"6","Microtus afghanus","Blanfordimys afghanus"
"7","Microtus bucharensis","Blanfordimys bucharensis"
"8","Microtus bucharensis","Blanfordimys bucharicus"
"9","Plecturocebus dubius","Callicebus dubius"
"10","Plecturocebus oenanthe","Callicebus oenanthe"
"11","Plecturocebus olallae","Callicebus olallae"
"12","Cebus yuracus","Cebus albifrons"
"13","Cebus trinitatis","Cebus albifrons"
"14","Chlorocebus dryas","Cercopithecus dryas"
"15","Chlorocebus dryas","Cercopithecus salongo"
"16","Cervus hanglu","Cervus elaphus"
"17","Mops aloysiisabaudiae","Chaerephon aloysiisabaudiae"
"18","Mops aloysiisabaudiae","Chaerephon cyclotis"
"19","Mops aloysiisabaudiae","Nyctinomus aloysii-sabaudiæ"
"20","Mops aloysiisabaudiae","Tadarida aloysiisabaudiae"
"21","Mops ansorgei","Chaerephon ansorgei"
"22","Mops ansorgei","Chaerephon rhodesiae"
"23","Mops ansorgei","Nyctinomus ansorgei"
"24","Mops ansorgei","Tadarida ansorgei"
"25","Mops bemmeleni","Chaerephon bemmeleni"
"26","Mops bemmeleni","Nyctinomus bemmeleni"
"27","Mops bemmeleni","Tadarida bemmeleni"
"28","Mops bivittatus","Chaerephon bivittata"
"29","Mops bivittatus","Chaerephon bivittatus"
"30","Mops bivittatus","Nyctinomus bivittatus"
"31","Mops bivittatus","Tadarida bivittata"
"32","Mops bregullae","Chaerephon bregullae"
"33","Mops bregullae","Tadarida bregullae"
"34","Mops chapini","Chaerephon chapini"
"35","Mops chapini","Chaerephon lancasteri"
"36","Mops chapini","Chaerephon shortridgei"
"37","Mops chapini","Tadarida chapini"
"38","Mops chapini","Tadarida shortridgei"
"39","Mops gallagheri","Chaerephon gallagheri"
"40","Mops gallagheri","Tadarida gallagheri"
"41","Mops jobensis","Chaerephon jobensis"
"42","Mops jobensis","Tadarida jobensis"
"43","Mops johorensis","Chaerephon johorensis"
"44","Mops johorensis","Tadarida johorensis"
"45","Mops major","Chaerephon major"
"46","Mops major","Nyctinomus pumilus"
"47","Mops major","Tadarida major"
"48","Mops nigeriae","Chaerephon nigeriae"
"49","Mops nigeriae","Tadarida nigeriae"
"50","Mops nigeriae","Tadarida nigeriae"
"51","Mops plicatus","Chaerephon plicata"
"52","Mops plicatus","Chaerephon plicatus"
"53","Mops plicatus","Dysopes murinus"
"54","Mops plicatus","Nyctinomus bengalensis"
"55","Mops plicatus","Tadarida plicata"
"56","Mops plicatus","Vespertilio plicatus"
"57","Mops pusillus","Chaerephon pumila"
"58","Mops pusillus","Chaerephon pumila"
"59","Mops pusillus","Chaerephon pusilla"
"60","Mops pusillus","Chaerephon pusillus"
"61","Mops pusillus","Dysopes pumilus"
"62","Mops pusillus","Nyctinomus pumilus"
"63","Mops pusillus","Nyctinomus pusillus"
"64","Mops pusillus","Tadarida pumila"
"65","Mops pusillus","Tadarida pumilus"
"66","Mops pusillus","Tadarida pusilla"
"67","Mops russatus","Chaerephon russata"
"68","Mops russatus","Chaerephon russatus"
"69","Mops russatus","Tadarida russata"
"70","Mops solomonis","Chaerephon solomonis"
"71","Mops solomonis","Tadarida solomonis"
"72","Mops tomensis","Chaerephon tomensis"
"73","Mops tomensis","Tadarida tomensis"
"74","Chionomys syriacus","Arvicola nivalis"
"75","Chionomys syriacus","Chionomys nivalis"
"76","Chionomys syriacus","Hypudaeus syriacus"
"77","Chionomys syriacus","Microtus nivalis"
"78","Clethrionomys centralis","Clethrionomys frater"
"79","Clethrionomys centralis","Evotomys centralis"
"80","Clethrionomys centralis","Myodes centralis"
"81","Clethrionomys glareolus","Myodes glareolus"
"82","Craseomys rufocanus","Clethrionomys rufocanus"
"83","Craseomys rufocanus","Clethrionomys sikotanensis"
"84","Craseomys rufocanus","Hypudaeus rufocanus"
"85","Craseomys rufocanus","Myodes rufocanus"
"86","Clethrionomys rutilus","Mus rutilus"
"87","Clethrionomys rutilus","Myodes rutilus"
"88","Brassomys albidens","Coccymys albidens"
"89","Brassomys albidens","Melomys albidens"
"90","Urocricetus alticola","Cricetulus alticola"
"91","Urocricetus kamensis","Cricetulus kamensis"
"92","Nothocricetulus migratorius","Cricetulus migratorius"
"93","Nothocricetulus migratorius","Mus migratorius"
"94","Fukomys mechowii","Cryptomys mechowi"
"95","Fukomys mechowii","Fukomys mechowi"
"96","Diaemus youngii","Desmodus youngii"
"97","Diaemus youngii","Diaemus youngi"
"98","Craseomys regulus","Eothenomys regulus"
"99","Craseomys regulus","Myodes regulus"
"100","Craseomys shanseius","Eothenomys shanseius"
"101","Craseomys shanseius","Myodes shanseius"
"102","Epomophorus dobsonii","Epomops dobsonii"
"103","Rhyneptesicus nasutus","Eptesicus nasutus"
"104","Rhyneptesicus nasutus","Vesperugo nasutus"
"105","Paragalago zanzibaricus","Galagoides zanzibaricus"
"106","Paragalago zanzibaricus","Galago udzungwensis"
"107","Paragalago zanzibaricus","Galago zanzibaricus"
"108","Eudorcas tilonura","Eudorcas rufifrons"
"109","Eudorcas tilonura","Gazella rufifrons"
"110","Gerbillus mackilligini","Gerbillus mackillingini"
"111","Doryrhina camerunensis","Hipposideros camerunensis"
"112","Macronycteris commersonii","Hipposideros commersoni"
"113","Macronycteris commersonii","Macronycteris commersoni"
"114","Doryrhina cyclops","Hipposideros cyclops"
"115","Doryrhina cyclops","Phyllorhina cyclops"
"116","Phoniscus aerosus","Kerivoula aerosa"
"117","Phoniscus aerosus","Phoniscus aerosa"
"118","Gyldenstolpia fronto","Kunsia fronto"
"119","Neodon fuscus","Lasiopodomys fuscus"
"120","Neodon fuscus","Microtus strauchi"
"121","Macaca brunnescens","Macaca ochreata"
"122","Osphranter bernardus","Macropus bernardus"
"123","Notamacropus irma","Halmaturus irma"
"124","Notamacropus irma","Macropus irma"
"125","Notamacropus parma","Macropus parma"
"126","Lyroderma lyra","Encheira lyra"
"127","Lyroderma lyra","Megaderma lyra"
"128","Lyroderma lyra","Megaderma spectrum"
"129","Lyroderma lyra","Vespertilio carnatica"
"130","Nesonycteris woodfordi","Melonycteris aurantius"
"131","Nesonycteris woodfordi","Melonycteris woodfordi"
"132","Nesonycteris fardoulisi","Melonycteris fardoulisi"
"133","Epomophorus intermedius","Micropteropus intermedius"
"134","Epomophorus pusillus","Epomophorus pusillus"
"135","Epomophorus pusillus","Micropteropus pusillus"
"136","Epomophorus minor","Epomophorus pusillus"
"137","Alexandromys evoronensis","Microtus evoronensis"
"138","Alexandromys fortis","Microtus fortis"
"139","Alexandromys fortis","Microtus michnoi"
"140","Alexandromys fortis","Microtus pelliceus"
"141","Alexandromys fortis","Microtus uliginosus"
"142","Lasiopodomys gregalis","Microtus gregalis"
"143","Lasiopodomys gregalis","Microtus gregalis"
"144","Lasiopodomys gregalis","Mus gregalis"
"145","Microtus juldaschi","Arvicola juldaschi"
"146","Microtus juldaschi","Neodon juldaschi"
"147","Alexandromys limnophilus","Microtus limnophilus"
"148","Alexandromys maximowiczii","Arvicola maximowiczii"
"149","Alexandromys maximowiczii","Microtus maximowiczii"
"150","Alexandromys maximowiczii","Microtus michnoi"
"151","Alexandromys middendorffii","Arvicola middendorfii"
"152","Alexandromys middendorffii","Microtus middendorffi"
"153","Alexandromys middendorffii","Microtus middendorffii"
"154","Alexandromys mongolicus","Arvicola mongolicus"
"155","Alexandromys mongolicus","Microtus arvalis"
"156","Alexandromys mongolicus","Microtus mongolicus"
"157","Alexandromys mongolicus","Microtus poljakovi"
"158","Alexandromys mongolicus","Microtus xerophilus"
"159","Alexandromys montebelli","Arvicola montebelli"
"160","Alexandromys montebelli","Microtus montebelli"
"161","Alexandromys mujanensis","Microtus mujanensis"
"162","Alexandromys oeconomus","Microtus oeconomus"
"163","Alexandromys oeconomus","Mus oeconomus"
"164","Microtus mystacinus","Arvicola mystacinus"
"165","Microtus mystacinus","Microtus epiroticus"
"166","Microtus mystacinus","Microtus levis"
"167","Microtus mystacinus","Microtus rossiaemeridionalis"
"168","Microtus mystacinus","Microtus subarvalis"
"169","Alexandromys sachalinensis","Microtus sachalinensis"
"170","Gardnerycteris crenulatum","Mimon crenulatum"
"171","Ozimops beccarii","Mormopterus astrolabiensis"
"172","Ozimops beccarii","Mormopterus beccarii"
"173","Nannospalax ehrenbergi","Spalax ehrenbergi"
"174","Nannospalax xanthodon","Nannospalax nehringi"
"175","Nannospalax xanthodon","Spalax munzuri"
"176","Nannospalax xanthodon","Spalax nehringi"
"177","Nannospalax xanthodon","Spalax xanthodon"
"178","Nannospalax leucodon","Spalax hungaricus"
"179","Nannospalax leucodon","Spalax leucodon"
"180","Nannospalax leucodon","Spalax monticola"
"181","Notopteris macdonaldii","Notopteris macdonaldi"
"182","Oryx dammah","Antilope dammah"
"183","Craseomys andersoni","Evotomys andersoni"
"184","Craseomys andersoni","Myodes andersoni"
"185","Craseomys andersoni","Phaulomys andersoni"
"186","Craseomys smithii","Eothenomys smithii"
"187","Craseomys smithii","Evotomys smithii"
"188","Craseomys smithii","Myodes smithii"
"189","Craseomys smithii","Phaulomys smithii"
"190","Hypsugo affinis","Falsistrellus affinis"
"191","Hypsugo affinis","Pipistrellus affinis"
"192","Hypsugo affinis","Vesperugo affinis"
"193","Hypsugo arabicus","Pipistrellus arabicus"
"194","Hypsugo cadornae","Pipistrellus cadornae"
"195","Parastrellus hesperus","Pipistrellus hesperus"
"196","Hypsugo pulveratus","Hypsugo pulveratus"
"197","Hypsugo pulveratus","Pipistrellus pulveratus"
"198","Perimyotis subflavus","Pipistrellus subflavus"
"199","Presbytis fredericae","Presbytis comata"
"200","Piliocolobus waldroni","Piliocolobus badius"
"201","Piliocolobus waldroni","Piliocolobus waldronae"
"202","Piliocolobus waldroni","Procolobus badius"
"203","Piliocolobus foai","Colobus foai"
"204","Piliocolobus foai","Piliocolobus rufomitratus"
"205","Piliocolobus foai","Procolobus badius"
"206","Piliocolobus foai","Procolobus rufomitratus"
"207","Piliocolobus langi","Piliocolobus foai"
"208","Piliocolobus langi","Colubus langi"
"209","Piliocolobus langi","Piliocolobus foai"
"210","Piliocolobus langi","Piliocolobus rufomitratus"
"211","Piliocolobus langi","Procolobus badius"
"212","Piliocolobus langi","Procolobus rufomitratus"
"213","Piliocolobus lulindicus","Piliocolobus rufomitratus"
"214","Piliocolobus lulindicus","Procolobus badius"
"215","Piliocolobus lulindicus","Procolobus rufomitratus"
"216","Ptenochirus jagorii","Ptenochirus jagori"
"217","Pteropus medius","Pteropus ariel"
"218","Pteropus medius","Pteropus assamensis"
"219","Pteropus medius","Pteropus edwardsi"
"220","Pteropus medius","Pteropus kelaarti"
"221","Pteropus medius","Pteropus leucocephalus"
"222","Pteropus medius","Pteropus medius"
"223","Pteropus medius","Pteropus ruvicollis"
"224","Desmalopex leucopterus","Pteropus leucopterus"
"225","Rhinolophus cornutus","Rhinolophus pusillus"
"226","Baeodon alleni","Rhogeessa alleni"
"227","Baeodon gracilis","Rhogeessa gracilis"
"228","Boneia bidens","Rousettus bidens"
"229","Pilonycteris celebensis","Rousettus celebensis"
"230","Stenonycteris lanosus","Rousettus lanosus"
"231","Leontocebus tripartitus","Saguinus tripartitus"
"232","Leontocebus leucogenys","Saguinus fuscicollis"
"233","Leontocebus cruzlimai","Saguinus fuscicollis"
"234","Tanyuromys aphrastus","Sigmodontomys aphrastus"
"235","Atopogale cubana","Atopogale cubanus"
"236","Atopogale cubana","Solenodon cubanus"
"237","Urocitellus endemicus","Spermophilus brunneus"
"238","Urocitellus endemicus","Urocitellus brunneus"
"239","Tamiops mcclellandii","Tamiops macclellandi"
"240","Cephalopachus bancanus","Tarsius bancanus"
"241","Cephalopachus bancanus","Tarsius natunensis"
"242","Carlito syrichta","Simia syrichta"
"243","Carlito syrichta","Tarsius carbonarius"
"244","Carlito syrichta","Tarsius fraterculus"
"245","Carlito syrichta","Tarsius philippinensis"
"246","Carlito syrichta","Tarsius syrichta"
"247","Semnopithecus vetulus","Trachypithecus vetulus"
"248","Tupaia everetti","Urogale everetti"
"249","Neodon clarkei","Microtus clarkei"
"250","Neodon clarkei","Volemys clarkei"
"251","Alexandromys kikuchii","Microtus kikuchii"
"252","Alexandromys kikuchii","Volemys kikuchii"
"253","Crocidura gueldenstaedtii","Sorex gueldenstaedtii"
"254","Microtus gerbii","Arvicola gerbii"
"255","Microtus gerbii","Microtus gerbei"
"256","Microtus gerbii","Microtus pyrenaicus"
"257","Microtus gerbii","Microtus pyrenaicus"
"258","Craseomys rex","Myodes rex"
"259","Presbytis percura","Presbytis femoralis"
"260","Presbytis robinsoni","Presbytis femoralis"
"261","Presbytis canicrus","Presbytis hosei"
"262","Presbytis canicrus","Semnopithecus canicrus"
"263","Presbytis sabana","Presbytis hosei"
"264","Presbytis sabana","Semnopithecus canicrus"
"265","Presbytis bicolor","Presbytis melalophos"
"266","Presbytis mitrata","Presbytis melalophos"
"267","Presbytis siberu","Presbytis potenziani"
"268","Presbytis siberu","Presbytis potenziani"
"269","Trachypithecus mauritius","Trachypithecus auratus"
"270","Trachypithecus leucocephalus","Trachypithecus poliocephalus"
"271","Trachypithecus margarita","Trachypithecus germaini"
"272","Trachypithecus margarita","Trachypithecus villosus"
"273","Hylobates abbotti","Hylobates cinereus"
"274","Hylobates abbotti","Hylobates muelleri"
"275","Hylobates funereus","Hylobates muelleri"
"276","Lagothrix flavicauda","Lagothrix hendeei"
"277","Lagothrix flavicauda","Oreonax flavicauda"
"278","Lagothrix flavicauda","Oreonax hendeei"
"279","Lagothrix flavicauda","Simia flavicauda"
"280","Plecturocebus ornatus","Callicebus cupreus"
"281","Plecturocebus ornatus","Callicebus ornatus"
"282","Cheracebus medemi","Callicebus medemi"
"283","Cheracebus medemi","Callicebus torquatus"
"284","Leontocebus nigricollis","Saguinus nigricollis"
"285","Pithecia napensis","Pithecia monachus"
"286","Thainycteris aureocollaris","Arielulus aureocollaris"
"287","Mops leucogaster","Chaerephon leucogaster"
"288","Mops leucogaster","Nyctinomus leucogaster"
"289","Mops leucogaster","Tadarida leucogaster"
"290","Notamacropus agilis","Halmaturus agilis"
"291","Notamacropus agilis","Macropus agilis"
"292","Osphranter antilopinus","Macropus antilopinus"
"293","Notamacropus dorsalis","Halmaturus dorsalis"
"294","Notamacropus dorsalis","Macropus dorsalis"
"295","Notamacropus parryi","Halmaturus parryi"
"296","Notamacropus parryi","Macropus parryi"
"297","Osphranter robustus","Macropus robustus"
"298","Notamacropus rufogriseus","Macropus ruficollis"
"299","Notamacropus rufogriseus","Macropus rufogriseus"
"300","Notamacropus rufogriseus","Wallabia rufogriseus"
"301","Osphranter rufus","Kangurus rufus"
"302","Osphranter rufus","Macropus rufus"
"303","Piliocolobus parmentieri","Colobus rufomitratus"
"304","Piliocolobus parmentieri","Procolobus badius"
"305","Piliocolobus parmentieri","Procolobus foai"
"306","Piliocolobus parmentieri","Procolobus rufomitratus"
"307","Paragalago orinus","Galago demidovii"
"308","Paragalago orinus","Galagoides orinus"
"309","Paragalago rondoensis","Galagoides rondoensis"
"310","Paragalago rondoensis","Galago rondoensis"
"311","Geoxus annectens","Pearsonomys annectens"
"312","Sorex monticola","Sorex monticolus"
"313","Diplomesodon pulchellus","Diplomesodon pulchellum"
"314","Diplomesodon pulchellus","Sorex pulchellus"
"315","Notamacropus eugenii","Kangurus eugenii"
"316","Notamacropus eugenii","Macropus eugenii"
"317","Plecturocebus donacophilus","Callicebus donacophilus"
"318","Plecturocebus pallescens","Callicebus pallescens"
"319","Plecturocebus modestus","Callicebus modestus"
"320","Plecturocebus caligatus","Callicebus caligatus"
"321","Plecturocebus caligatus","Callithrix caligata"
"322","Plecturocebus discolor","Callicebus cuprea"
"323","Plecturocebus discolor","Callicebus cupreus"
"324","Plecturocebus discolor","Callicebus cupreus"
"325","Plecturocebus discolor","Callicebus discolor"
"326","Plecturocebus discolor","Callicebus paenulata"
"327","Plecturocebus discolor","Callicebus rutteri"
"328","Plecturocebus discolor","Callicebus subrufus"
"329","Plecturocebus stephennashi","Callicebus stephennashi"
"330","Plecturocebus moloch","Callicebus moloch"
"331","Plecturocebus cinerascens","Callicebus cinerascens"
"332","Plecturocebus cinerascens","Callithrix cinerascens"
"333","Plecturocebus brunneus","Callicebus brunneus"
"334","Plecturocebus hoffmannsi","Callicebus hoffmannsi"
"335","Plecturocebus baptista","Callicebus baptista"
"336","Plecturocebus bernhardi","Callicebus bernhardi"
"337","Cheracebus lugens","Callicebus lugens"
"338","Cheracebus lucifer","Callicebus lucifer"
"339","Cheracebus lucifer","Callicebus torquatus"
"340","Cheracebus regulus","Callicebus regulus"
"341","Cheracebus regulus","Callicebus torquatus"
"342","Callibella humilis","Callithrix humilis"
"343","Callibella humilis","Mico humilis"
"344","Platanista minor","Delphinus gangeticus"
"345","Platanista minor","Platanista gangetica"
"346","Platanista minor","Platanista gangetica"
"347","Platanista minor","Platanista indi"
"348","Heterogeomys lanius","Orthogeomys lanius"
"349","Clethrionomys californicus","Evotomys californicus"
"350","Clethrionomys californicus","Myodes californicus"
"351","Clethrionomys gapperi","Clethrionomys gapperi"
"352","Clethrionomys gapperi","Myodes gapperi"
"353","Leontocebus fuscus","Saguinus fuscicollis"
"354","Leontocebus fuscus","Saguinus fuscus"
"355","Cebus castaneus","Cebus olivaceus"
"356","Leontocebus lagonotus","Saguinus fuscicollis"
